name,player_unique_id,number,t_b,height,weight,born,debut,nationality,draft_order,position,team
林楷錡,6226,93,右投左打,186,83,1998-06-12,2022-06-03,中華民國,樂天桃猿2020年第八輪,投手,樂天桃猿二軍
曾峻岳,6227,60,右投右打,174,68,2001-11-07,2021-03-14,中華民國,富邦悍將2020年第七輪,投手,富邦悍將
林詠翔,6230,00,右投右打,176,72,2001-09-13,,中華民國,富邦悍將2020年第五輪,投手,富邦悍將二軍
林子豪,6223,2,右投左打,185,73,2002-03-29,2021-03-25,中華民國,統一7-ELEVEn獅2020年第一輪,三壘手,統一7-ELEVEn獅二軍
王志煊,6228,64,左投左打,175,72,2001-09-05,2021-03-17,中華民國,樂天桃猿2020年第五輪,投手,樂天桃猿
宋晟睿,6225,88,右投右打,182,84,2002-08-14,2021-07-16,中華民國,中信兄弟2020年第二輪,左外野手,中信兄弟
林吳晉瑋,6224,0,右投左打,179,88,2002-02-04,2022-05-31,中華民國,中信兄弟2020年第五輪,捕手,中信兄弟
葉子霆,6229,6,右投右打,170,65,1998-01-07,2021-04-10,中華民國,富邦悍將2020年第四輪,游擊手,富邦悍將
黃兆維,6233,31,右投右打,185,85,2001-11-03,,中華民國,富邦悍將2020年第六輪,一壘手,富邦悍將二軍
何逸龍,6231,96,右投右打,179,77,2000-09-17,,中華民國,樂天桃猿2020年第七輪,投手,樂天桃猿二軍
邱勝宥,6234,74,右投右打,176,84,2001-10-10,,中華民國,樂天桃猿2020年第六輪,捕手,樂天桃猿二軍
楊鈺翔,6236,45,右投右打,187,83,2002-07-05,2021-08-06,中華民國,味全龍2020年第三輪,投手,味全龍二軍
周奕丞,6239,36,右投左打,178,80,1997-11-06,,中華民國,富邦悍將2020年第九輪,二壘手,富邦悍將二軍
林政華,6235,65,右投左打,173,73,2001-09-22,2022-06-06,中華民國,樂天桃猿2020年第四輪,中外野手,樂天桃猿
許宸銘,6232,24,右投左打,178,82,2002-07-18,,中華民國,富邦悍將2020年第八輪,游擊手,富邦悍將二軍
馬傑森,6240,94,右投右打,180,80,2002-05-15,2020-10-17,中華民國,樂天桃猿2020年第一輪,游擊手,樂天桃猿
林子崴,6237,54,左投左打,178,80,2002-03-22,2021-11-05,中華民國,樂天桃猿2020年第二輪,投手,樂天桃猿二軍
林家鋒,6241,67,右投右打,173,82,1997-09-10,,中華民國,,捕手,樂天桃猿二軍
劉家誠,6242,111,右投右打,181,80,1998-03-25,,中華民國,,二壘手,樂天桃猿二軍
徐浩凱,6243,101,右投左打,176,69,1995-11-19,,中華民國,,游擊手,中信兄弟二軍
鄭兆男,6244,101,右投左打,170,68,2000-04-20,,中華民國,,二壘手,味全龍二軍
傑斯,6298,66,右投右打,190,105,1988-08-16,2021-03-19,尼加拉瓜,,投手,富邦悍將
恩力	,6320,37,左投左打,183,70,1994-12-24,2023-09-05,多明尼加,,投手,富邦悍將二軍
田澤純一,6423,95,右投右打,180,82,1986-06-06,2021-03-17,日本,,投手,味全龍
雷法	,6420,55,右投右打,188,95,1989-03-17,2023-04-27,古巴,,投手,樂天桃猿
歐飛登,6498,13,左投左打,188,79,1991-08-17,2021-03-16,美國,,投手,樂天桃猿二軍
